faits;tauxpourmille;yr_id;dp_id;cl_id
691;3,01495259412455141;3;66;1
2087;4,38116790558341762;3;67;1
4017;3,54372803364997813;3;68;1
2562;3,34910278817382423;3;69;1
8009;4,30701620414686737;3;70;1
802;3,39804591175249371;3;71;1
1528;2,76718853282867183;3;72;1
1838;3,24756211978521536;3;73;1
1399;3,22555357785135266;3;74;1
2350;2,87743709738838893;3;75;1
11761;5,40586256395359310;3;76;1
4652;3,70416670979701124;3;77;1
5464;3,86827476644512380;3;78;1
4633;3,21424061917666082;3;79;1
759;2,02508544579894822;3;80;1
2691;4,71557594513039291;3;81;1
1051;2,70460838505800361;3;82;1
874;3,37290254858677674;3;83;1
4602;4,31021160497781697;3;84;1
2126;3,79783241305268193;3;85;1
1636;2,40591419592318134;3;86;1
1203;2,74917387667795587;3;87;1
970;2,59914951540599004;3;88;1
1009;2,75598723887772046;3;89;1
1529;4,53031667772826374;3;90;1
546;3,84908214195076548;3;91;1
4770;3,67873605724329211;3;92;1
5690;3,51425465685063454;3;93;1
10203;6,24924587043242497;3;94;1
5739;4,10834461415993690;3;95;1
5045;4,07320958419352497;3;96;1
2608;6,72808278018414541;3;97;1
2259;6,12555350978759883;3;98;1
2104;7,61965465291459054;3;99;1
4648;5,43015394392968886;3;100;1
1337;5,21210987143202420;3;101;1
1635;2,50600828898643879;4;1;1
2353;4,42838457122961504;4;2;1
1182;3,51811890765681978;4;3;1
633;3,85252087542907207;4;4;1
434;3,07321909078034272;4;5;1
5629;5,14400753735551053;4;6;1
837;2,54966826896715615;4;7;1
1120;4,13922581694273806;4;8;1
628;4,09689014724014466;4;9;1
1457;4,69633382972002522;4;10;1
1369;3,65974282888229485;4;11;1
705;2,52150431874675851;4;12;1
11032;5,39961137677364356;4;13;1
2277;3,27670688799188392;4;14;1
378;2,61244574682774422;4;15;1
1369;3,88903881936849283;4;16;1
2179;3,34531854986044541;4;17;1
1102;3,64531302719760752;4;18;1
667;2,77832159384853794;4;19;1
1758;3,29137054316975108;4;20;1
1590;2,64743199096876003;4;21;1
347;2,97555244947134634;4;22;1
1174;2,84108096596752846;4;23;1
2471;4,54249651637762142;4;24;1
1861;3,60127099128805916;4;25;1
2205;3,67802210816554309;4;26;1
1493;3,45942188495626501;4;27;1
2803;3,06308669092657571;4;28;1
583;3,67807100001892628;4;29;1
636;3,49579240709491978;4;30;1
2953;3,94555587177010203;4;31;1
5482;3,91560520814063073;4;32;1
481;2,51336367484075929;4;33;1
6095;3,75365897069066712;4;34;1
5437;4,62478192413724454;4;35;1
3246;3,00695323196522857;4;36;1
664;3,02759488591803638;4;37;1
1924;3,15368993195963121;4;38;1
4868;3,82955491257632774;4;39;1
778;3,00155478994903557;4;40;1
1144;2,76535570112886475;4;41;1
1056;3,20514766139557494;4;42;1
2675;3,49383648061606467;4;43;1
553;2,43002153183635805;4;44;1
5025;3,51577586351653126;4;45;1
2536;3,72703304067698005;4;46;1
431;2,47567406113938437;4;47;1
1299;3,92126084082216630;4;48;1
230;3,00245417993838437;4;49;1
2114;2,58348986218535881;4;50;1
1345;2,71692472401498852;4;51;1
2402;4,23741521200306881;4;52;1
662;3,83741420886662965;4;53;1
905;2,94728751848160941;4;54;1
2917;3,97541430440470966;4;55;1
598;3,24853462840131879;4;56;1
2329;3,06574839012010258;4;57;1
3845;3,67400097272639536;4;58;1
581;2,84174280515720090;4;59;1
14264;5,46859964130525622;4;60;1
3197;3,85450538268354093;4;61;1
877;3,13279179258560703;4;62;1
7287;4,97311772919541628;4;63;1
1803;2,72293974797327509;4;64;1
1986;2,90937430873061320;4;65;1
677;2,94903013063724329;4;66;1
2286;4,76270836849112111;4;67;1
4249;3,72700663212453431;4;68;1
3011;3,92524436634223584;4;69;1
8947;4,76983303185344276;4;70;1
824;3,50171898705128903;4;71;1
1522;2,75978117582634752;4;72;1
2091;3,69165907501959722;4;73;1
1540;3,52859768029071974;4;74;1
2740;3,31681382506107081;4;75;1
12673;5,85243622146804565;4;76;1
5020;3,99798348721322228;4;77;1
5571;3,91993509696403786;4;78;1
4975;3,43528238711731149;4;79;1
1073;2,86226452339161019;4;80;1
2590;4,53940784388643426;4;81;1
1163;2,98324457988323566;4;82;1
827;3,17260587181444675;4;83;1
4881;4,53324986927782803;4;84;1
2232;3,97528625801246349;4;85;1
1683;2,45534997855398407;4;86;1
1367;3,11790801373065563;4;87;1
1044;2,80374584742144028;4;88;1
1127;3,09191520415693866;4;89;1
1467;4,36988206978108895;4;90;1
591;4,18205748736891270;4;91;1
5044;3,87505483386969996;4;92;1
6283;3,86799207317110705;4;93;1
10872;6,60950828103541621;4;94;1
6377;4,53193890517111520;4;95;1
5509;4,40834969760113449;4;96;1
2825;7,35219485788792948;4;97;1
2362;6,47996751785969050;4;98;1
2281;8,09789901944773938;4;99;1
4700;5,45743779101496695;4;100;1
1587;6,18670034851355499;4;101;1
1648;2,50510750072964283;5;1;1
2241;4,23330197554092180;5;2;1
1075;3,20295088610008705;5;3;1
674;4,07371366749067665;5;4;1
517;3,67696739091781977;5;5;1
5758;5,24689951795591458;5;6;1
913;2,77233735671449200;5;7;1
1125;4,17128597965895587;5;8;1
687;4,46237187731400287;5;9;1
1334;4,28339781976977463;5;10;1
1398;3,72584397828456604;5;11;1
697;2,49325711669301819;5;12;1
10824;5,28497561118516490;5;13;1
2305;3,30443683364705176;5;14;1
391;2,70815007722729773;5;15;1
1313;3,73310436201729789;5;16;1
2470;3,76691489669960333;5;17;1
998;3,31635280942934152;5;18;1
736;3,07705171620887175;5;19;1
1880;3,51350644205143947;5;20;1
1783;2,95374726658273179;5;21;1
322;2,77598172335014448;5;22;1
1327;3,21457727218772948;5;23;1
2434;4,46434303175479474;5;24;1
1905;3,67967332999812635;5;25;1
2125;3,54362747386887378;5;26;1
1516;3,51378977060700937;5;27;1
2925;3,18912665902730019;5;28;1
675;4,19739574912631941;5;29;1
597;3,26431074926047193;5;30;1
3000;3,99224439987916790;5;31;1
5748;4,06001877440832004;5;32;1
523;2,72652865461711302;5;33;1
6324;3,86460204193252110;5;34;1
5546;4,66452980849859511;5;35;1
3795;3,48531255309476462;5;36;1
735;3,36066060985702331;5;37;1
1943;3,17421939198097114;5;38;1
4992;3,90759232978451099;5;39;1
764;2,95210936715121441;5;40;1
1224;2,92737526367902223;5;41;1
977;2,96638601881848540;5;42;1
2536;3,29990058659116103;5;43;1
538;2,36494951404243725;5;44;1
5028;3,47917305287747958;5;45;1
2764;4,05098020823562521;5;46;1
482;2,75948932272284875;5;47;1
1310;3,95957006927736321;5;48;1
207;2,70118617305860376;5;49;1
2297;2,79878593369423889;5;50;1
1213;2,45004473906922549;5;51;1
2234;3,94240627961437129;5;52;1
680;3,95813688168663180;5;53;1
922;3,00778370055262334;5;54;1
2993;4,08550485264609087;5;55;1
717;3,91801137698701085;5;56;1
2535;3,31736374926226274;5;57;1
3763;3,58669596008216152;5;58;1
584;2,88153155375733938;5;59;1
13956;5,35174821474177254;5;60;1
3190;3,84476780133518270;5;61;1
912;3,27497980070024264;5;62;1
7114;4,86538131417273156;5;63;1
1916;2,89490701848751719;5;64;1
2026;2,94802397997788246;5;65;1
695;3,02452695528051940;5;66;1
2312;4,78907957287707298;5;67;1
4171;3,63304424021817418;5;68;1
3061;3,98649722208475188;5;69;1
8657;4,59638416363276292;5;70;1
774;3,29921867340718933;5;71;1
1643;2,98151028103864713;5;72;1
2085;3,67729407594097291;5;73;1
1569;3,56793632745878364;5;74;1
2912;3,48656499115188323;5;75;1
11070;5,15866025818465523;5;76;1
4801;3,82629375511560577;5;77;1
5501;3,85052595622677840;5;78;1
5703;3,93385495022152520;5;79;1
1063;2,83859528253769877;5;80;1
2431;4,27430074479382771;5;81;1
1349;3,44954560099829699;5;82;1
842;3,20986901294621774;5;83;1
5144;4,74018811469707124;5;84;1
2144;3,81534716278043406;5;85;1
1847;2,66635869525988722;5;86;1
1286;2,92717125089909258;5;87;1
983;2,64159968612528662;5;88;1
1232;3,39958664116976683;5;89;1
1563;4,67745603849698899;5;90;1
543;3,87524978589780211;5;91;1
5341;4,08921705389558898;5;92;1
6564;4,03637161921593357;5;93;1
10808;6,52884883733573673;5;94;1
6433;4,56898290591006084;5;95;1
5538;4,42401526117507160;5;96;1
3023;7,88144718283236667;5;97;1
2366;6,54993425150529429;5;98;1
2405;8,43466031641374414;5;99;1
4907;5,68543233964751948;5;100;1
1490;5,80855924340592100;5;101;1
1931;2,93529283004183306;6;1;1
2403;4,53932380509809708;6;2;1
1244;3,70648456028698403;6;3;1
679;4,10393409529105302;6;4;1
628;4,46641300096013616;6;5;1
6109;5,56674351427451874;6;6;1
1046;3,17619372959842128;6;7;1
1279;4,74228868265227010;6;8;1
629;4,08563596918560012;6;9;1
1449;4,65265625250854953;6;10;1
1572;4,18957563223414731;6;11;1
771;2,75796447198036887;6;12;1
12351;6,03055559624426962;6;13;1
2796;4,00833205504431955;6;14;1
394;2,72892872232111339;6;15;1
1444;4,10556184215763764;6;16;1
2616;3,98957464363002501;6;17;1
1093;3,63203769609846683;6;18;1
884;3,69580668088130793;6;19;1
1950;3,64432849042569496;6;20;1
1828;3,02829501027102266;6;21;1
427;3,68119315487736554;6;22;1
1436;3,47862318226192890;6;23;1
2602;4,77248174553244642;6;24;1
2214;4,27653372840727108;6;25;1
2472;4,12228099548416793;6;26;1
1665;3,85914245914292264;6;27;1
2899;3,16077886650261330;6;28;1
711;4,42125685574639071;6;29;1
633;3,46115360851235998;6;30;1
3287;4,37416911413427467;6;31;1
6201;4,37998893877974815;6;32;1
538;2,80472737320077803;6;33;1
7394;4,51847999652894661;6;34;1
5846;4,91684840614547181;6;35;1
3933;3,61205119138911979;6;36;1
788;3,60299395995555694;6;37;1
2192;3,58100304025851202;6;38;1
5269;4,12441986891718582;6;39;1
914;3,53171199159189797;6;40;1
1433;3,42722937324512911;6;41;1
1143;3,47039838230248643;6;42;1
3047;3,96482534989876534;6;43;1
658;2,89244754691435668;6;44;1
5216;3,60926146456024899;6;45;1
2887;4,23125175874683457;6;46;1
497;2,84536554645903728;6;47;1
1502;4,53990400309511433;6;48;1
255;3,32754818420262799;6;49;1
2292;2,79269367001619351;6;50;1
1469;2,96711930889752029;6;51;1
2836;5,00477359399568300;6;52;1
797;4,63916925691800763;6;53;1
1093;3,56562644761823977;6;54;1
3695;5,04374889092125223;6;55;1
816;4,45899202736597111;6;56;1
2644;3,46000384735677446;6;57;1
4497;4,28630659912024381;6;58;1
598;2,95060936497755000;6;59;1
16483;6,32078430951480730;6;60;1
3609;4,34977021787419282;6;61;1
1023;3,67357931591704823;6;62;1
8297;5,67445442278481238;6;63;1
2152;3,25148220448076009;6;64;1
2298;3,34381002269949379;6;65;1
845;3,67730255713962428;6;66;1
2679;5,54928381303532792;6;67;1
4723;4,11384990327270117;6;68;1
3289;4,28343331049877474;6;69;1
9982;5,29988526295278284;6;70;1
840;3,58054739749617434;6;71;1
1914;3,47328708332804048;6;72;1
2382;4,20111006661457953;6;73;1
1645;3,74076179647526974;6;74;1
3264;3,90801790217024259;6;75;1
12770;5,95086644056170222;6;76;1
5718;4,55712303514914296;6;77;1
6482;4,53719491878967052;6;78;1
5903;4,07181233932275344;6;79;1
1159;3,09495007757402929;6;80;1
2824;4,96529218564285024;6;81;1
1474;3,76918474119458091;6;82;1
842;3,20986901294621774;6;83;1
5463;5,03414612569791942;6;84;1
2403;4,27624964186631740;6;85;1
2005;2,89445001840610372;6;86;1
1502;3,41882676426939058;6;87;1
1296;3,48271942341645113;6;88;1
1425;3,93215175622314739;6;89;1
1652;4,94379870479656258;6;90;1
568;4,05366828432771964;6;91;1
6067;4,64506269724481236;6;92;1
7156;4,40040757268574279;6;93;1
11770;7,10996954250940227;6;94;1
7028;4,99157653703340642;6;95;1
6026;4,81385264785861011;6;96;1
3225;8,40809367007422459;6;97;1
2713;7,51055436362378082;6;98;1
2752;9,65163625395867797;6;99;1
5480;6,34933140845086719;6;100;1
1720;6,70518248232092873;6;101;1
2246;3,41412102344586055;7;1;1
2678;5,05880530588959765;7;2;1
1326;3,95080267438950239;7;3;1
833;5,03472327154263155;7;4;1
715;5,08516766829060174;7;5;1
6921;6,30666751715402629;7;6;1
1200;3,64381689820086541;7;7;1
1625;6,02519085950738109;7;8;1
810;5,26131182041388978;7;9;1
1779;5,71226740732416083;7;10;1
1752;4,66929803287164535;7;11;1
899;3,21583665409902908;7;12;1
13313;6,50026610418589179;7;13;1
3347;4,79824298577730168;7;14;1
505;3,49773859079228977;7;15;1
1775;5,04665669655803750;7;16;1
2938;4,48064614028479102;7;17;1
1172;3,89455460185489821;7;18;1
1030;4,30620009197708953;7;19;1
2273;4,24797879935261768;7;20;1
2390;3,95931349811145727;7;21;1
533;4,59502564765722621;7;22;1
1628;3,94373157431923449;7;23;1
2978;5,46212553351100194;7;24;1
2668;5,15347424904724427;7;25;1
2606;4,34573797501283998;7;26;1
1981;4,59156829523251009;7;27;1
3299;3,59689875149779903;7;28;1
728;4,52696904498364550;7;29;1
755;4,12823218708820150;7;30;1
3896;5,18459472730974635;7;31;1
7422;5,24242507718485573;7;32;1
618;3,22178720564699006;7;33;1
8634;5,27624510279022552;7;34;1
7014;5,89920881298397859;7;35;1
4571;4,19798779451809523;7;36;1
930;4,25226444512521340;7;37;1
2661;4,34719392797805604;7;38;1
5954;4,66061793500340116;7;39;1
983;3,79832919883461262;7;40;1
1841;4,40302112780480304;7;41;1
1282;3,89243283124390871;7;42;1
3549;4,61803910954733077;7;43;1
741;3,25730035298410003;7;44;1
6312;4,36764922628533192;7;45;1
3111;4,55955116780789815;7;46;1
583;3,33772256254651634;7;47;1
1762;5,32577287180665238;7;48;1
254;3,31449897563712748;7;49;1
2843;3,46406112733683980;7;50;1
1739;3,51247139426329991;7;51;1
3436;6,06361144886077863;7;52;1
892;5,19214426244775851;7;53;1
1109;3,61782226020917452;7;54;1
4249;5,79996996956005439;7;55;1
889;4,85789695138277899;7;56;1
3228;4,22424070320259748;7;57;1
5161;4,91919687748712064;7;58;1
735;3,62658508906103538;7;59;1
